[2024-11-15 09:56:44,538: INFO: main: Logging is implemented]
[2024-11-17 18:34:16,037: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-17 18:34:16,040: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 18:34:16,042: INFO: common: created directory at: artifacts]
[2024-11-17 18:34:16,043: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-17 18:34:19,423: INFO: 2837126434: File is downloaded]
[2024-11-17 18:48:28,471: INFO: main: Stage Data Ingestion Stage initiated]
[2024-11-17 18:48:28,472: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-17 18:48:28,472: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 18:48:28,472: INFO: common: created directory at: artifacts]
[2024-11-17 18:48:28,473: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-17 18:48:32,272: INFO: data_ingestion: File is downloaded]
[2024-11-17 18:48:32,368: INFO: main: Stage Data Ingestion Stage completed]
